GO #,GO name,change in expression: alarm pher : control
GO:0009266,response to temperature stimulus,up
GO:0009408,response to heat,up
GO:0050896,response to stimulus,up
GO:0051082,unfolded protein binding,up
GO:0005515,protein binding,up
GO:0032501,multicellular organismal process,up
GO:0007154,cell communication,up
GO:0050877,neurological process,up
GO:0050962,detection of light stimulus during sensory perception,up
GO:0050908,detection of light stimulus during visual perception,up
GO:0009584,detection of visible light,up
GO:0009583,detection of light stimulus,up
GO:0009416,response to light stimulus,up
GO:0007601,visual perception,up
GO:0048699,generation of neurons,up
GO:0048856,anatomical structure development,up
GO:0042026,protein refolding,up
GO:0007165,signal transduction,up
GO:0019991,septate junction assembly,up
GO:0022008,neurogenesis,up
GO:0009581,detection of external stimulus,up
GO:0007610,behavior,up
GO:0007600,sensory perception,up
GO:0051606,detection of stimulus,up
GO:0004871,signal transducer activity,up
GO:0030674,"protein binding, bridging",up
GO:0005070,SH3/SH2 adaptor activity,up
GO:0032502,developmental process,up
GO:0009314,response to radiation,up
GO:0045167,asymmetric protein localization during cell fate commitment,up
GO:0000902,cell morphogenesis,up
GO:0032989,cellular structure morphogenesis,up
GO:0009653,anatomical structure morphogenesis,up
GO:0042402,biogenic amine catabolic process,up
GO:0048522,positive regulation of cellular process,up
GO:0001584,rhodopsin-like receptor activity,up
GO:0060090,molecular adaptor activity,up
GO:0030182,neuron differentiation,up
GO:0008020,G-protein coupled photoreceptor activity,up
GO:0007043,intercellular junction assembly,up
GO:0016336,establishment and/or maintenance of polarity of larval imaginal disc epithelium,up
GO:0050789,regulation of biological process,up
GO:0042221,response to chemical stimulus,up
GO:0016334,establishment and/or maintenance of polarity of follicular epithelium,up
GO:0045216,intercellular junction assembly and maintenance,up
GO:0048667,neuron morphogenesis during differentiation,up
GO:0042434,indole derivative metabolic process,up
GO:0006586,indolalkylamine metabolic process,up
GO:0007223,"Wnt receptor signaling pathway, calcium modulating pathway",up
GO:0042430,indole and derivative metabolic process,up
GO:0045175,basal protein localization,up
GO:0048666,neuron development,up
GO:0048858,cell projection morphogenesis,up
GO:0006576,biogenic amine metabolic process,up
GO:0030154,cell differentiation,up
GO:0065007,biological regulation,up
GO:0048869,cellular developmental process,up
GO:0004930,G-protein coupled receptor activity,up
GO:0051087,chaperone binding,up
GO:0009790,embryonic development,up
GO:0051247,positive regulation of protein metabolic process,up
GO:0016335,morphogenesis of larval imaginal disc epithelium,up
GO:0008062,eclosion rhythm,up
GO:0045196,establishment and/or maintenance of neuroblast polarity,up
GO:0005342,organic acid transmembrane transporter activity,up
GO:0046943,carboxylic acid transmembrane transporter activity,up
GO:0007417,central nervous system development,up
GO:0007186,G-protein coupled receptor protein signaling pathway,up
GO:0048813,dendrite morphogenesis,up
GO:0008105,asymmetric protein localization,up
GO:0048512,circadian behavior,up
GO:0016333,morphogenesis of follicular epithelium,up
GO:0004385,guanylate kinase activity,up
GO:0050794,regulation of cellular process,up
GO:0007028,cytoplasm organization and biogenesis,up
GO:0030431,sleep,up
GO:0006575,amino acid derivative metabolic process,up
GO:0007622,rhythmic behavior,up
GO:0045935,"positive regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolic process",up
GO:0000904,cellular morphogenesis during differentiation,up
GO:0042133,neurotransmitter metabolic process,up
GO:0016332,establishment and/or maintenance of polarity of embryonic epithelium,up
GO:0016853,isomerase activity,up
GO:0022604,regulation of cell morphogenesis,up
GO:0022603,regulation of anatomical structure morphogenesis,up
GO:0008360,regulation of cell shape,up
GO:0004693,cyclin-dependent protein kinase activity,up
GO:0007465,R7 cell fate commitment,up
GO:0003990,acetylcholinesterase activity,up
GO:0008970,phospholipase A1 activity,up
GO:0003825,"alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity",up
GO:0008605,protein kinase CK2 regulator activity,up
GO:0003876,AMP deaminase activity,up
GO:0030295,protein kinase activator activity,up
GO:0016934,extracellular-glycine-gated chloride channel activity,up
GO:0045159,myosin II binding,up
GO:0051766,inositol trisphosphate kinase activity,up
GO:0004614,phosphoglucomutase activity,up
GO:0030296,protein tyrosine kinase activator activity,up
GO:0004104,cholinesterase activity,up
GO:0004512,inositol-3-phosphate synthase activity,up
GO:0019209,kinase activator activity,up
GO:0007623,circadian rhythm,up
GO:0048468,cell development,up
GO:0006569,tryptophan catabolic process,up
GO:0006581,acetylcholine catabolic process,up
GO:0035095,behavioral response to nicotine,up
GO:0046681,response to carbamate,up
GO:0046218,indolalkylamine catabolic process,up
GO:0042416,dopamine biosynthetic process,up
GO:0007162,negative regulation of cell adhesion,up
GO:0007630,jump response,up
GO:0042135,neurotransmitter catabolic process,up
GO:0019695,choline metabolic process,up
GO:0030709,border follicle cell delamination,up
GO:0006021,inositol biosynthetic process,up
GO:0006585,dopamine biosynthetic process from tyrosine,up
GO:0030710,regulation of border follicle cell delamination,up
GO:0042436,indole derivative catabolic process,up
GO:0042423,catecholamine biosynthetic process,up
GO:0031058,positive regulation of histone modification,up
GO:0003711,transcription elongation regulator activity,up
GO:0048511,rhythmic process,up
GO:0007562,eclosion,up
GO:0030865,cortical cytoskeleton organization and biogenesis,up
GO:0045186,zonula adherens assembly,up
GO:0030866,cortical actin cytoskeleton organization and biogenesis,up
GO:0019207,kinase regulator activity,up
GO:0009792,embryonic development ending in birth or egg hatching,up
GO:0008227,amine receptor activity,up
GO:0004888,transmembrane receptor activity,up
GO:0035188,hatching,up
GO:0004674,protein serine/threonine kinase activity,up
GO:0022834,ligand-gated channel activity,up
GO:0015276,ligand-gated ion channel activity,up
GO:0007243,protein kinase cascade,up
GO:0016301,kinase activity,up
GO:0046983,protein dimerization activity,up
GO:0007169,transmembrane receptor protein tyrosine kinase signaling pathway,up
GO:0035075,response to ecdysone,up
GO:0019201,nucleotide kinase activity,up
GO:0007268,synaptic transmission,up
GO:0002046,opsin binding,up
GO:0008353,RNA polymerase subunit kinase activity,up
GO:0004682,protein kinase CK2 activity,up
GO:0016030,metarhodopsin binding,up
GO:0016684,"oxidoreductase activity, acting on peroxide as acceptor",up
GO:0004601,peroxidase activity,up
GO:0016209,antioxidant activity,up
GO:0048545,response to steroid hormone stimulus,up
GO:0009725,response to hormone stimulus,up
GO:0035069,larval midgut histolysis,up
GO:0008628,induction of apoptosis by hormones,up
GO:0006552,leucine catabolic process,up
GO:0035291,"specification of segmental identity, intercalary segment",up
GO:0045932,negative regulation of muscle contraction,up
GO:0006782,protoporphyrinogen IX biosynthetic process,up
GO:0046501,protoporphyrinogen IX metabolic process,up
GO:0008624,induction of apoptosis by extracellular signals,up
GO:0035094,response to nicotine,up
GO:0050664,"oxidoreductase activity, acting on NADH or NADPH, with oxygen as acceptor",up
GO:0004325,ferrochelatase activity,up
GO:0008470,isovaleryl-CoA dehydrogenase activity,up
GO:0008502,melatonin receptor activity,up
GO:0035013,myosuppressin receptor activity,up
GO:0016175,superoxide-generating NADPH oxidase activity,up
GO:0017159,pantetheinase activity,up
GO:0006937,regulation of muscle contraction,up
GO:0035203,regulation of lamellocyte differentiation,up
GO:0009083,branched chain family amino acid catabolic process,up
GO:0051241,negative regulation of multicellular organismal process,up
GO:0007380,"specification of segmental identity, head",up
GO:0004523,ribonuclease H activity,up
GO:0007602,phototransduction,up
GO:0046148,pigment biosynthetic process,up
GO:0016060,metarhodopsin inactivation,up
GO:0042493,response to drug,up
GO:0006551,leucine metabolic process,up
GO:0006911,"phagocytosis, engulfment",up
GO:0016062,adaptation of rhodopsin mediated signaling,up
GO:0022401,adaptation of signaling pathway,up
GO:0048732,gland development,up
GO:0050953,sensory perception of light stimulus,up
GO:0003841,1-acylglycerol-3-phosphate O-acyltransferase activity,up
GO:0008431,vitamin E binding,up
GO:0016511,endothelin-converting enzyme activity,up
GO:0008499,"UDP-galactose:beta-N-acetylglucosamine beta-1,3-galactosyltransferase activity",up
GO:0009582,detection of abiotic stimulus,up
GO:0050906,detection of stimulus during sensory perception,up
GO:0006350,transcription,up
GO:0042440,pigment metabolic process,up
GO:0035289,posterior head segmentation,up
GO:0009081,branched chain family amino acid metabolic process,up
GO:0016063,rhodopsin biosynthetic process,up
GO:0035288,anterior head segmentation,up
GO:0035072,ecdysone-mediated induction of salivary gland cell autophagic cell death,up
GO:0046154,rhodopsin metabolic process,up
GO:0048531,"beta-1,3-galactosyltransferase activity",up
GO:0035250,UDP-galactosyltransferase activity,up
GO:0016411,acylglycerol O-acyltransferase activity,up
GO:0006351,"transcription, DNA-dependent",up
GO:0032774,RNA biosynthetic process,up
GO:0004872,receptor activity,up
GO:0006909,phagocytosis,up
GO:0035078,induction of programmed cell death by ecdysone,up
GO:0035081,induction of programmed cell death by hormones,up
GO:0009608,response to symbiont,up
GO:0035071,salivary gland cell autophagic cell death,up
GO:0048102,autophagic cell death,up
GO:0035070,salivary gland histolysis,up
GO:0016271,tissue death,up
GO:0051707,response to other organism,up
GO:0007559,histolysis,up
GO:0006952,defense response,up
GO:0035287,head segmentation,up
GO:0035171,lamellocyte differentiation,up
GO:0048148,behavioral response to cocaine,up
GO:0009607,response to biotic stimulus,up
GO:0019748,secondary metabolic process,up
GO:0005501,retinoid binding,up
GO:0003995,acyl-CoA dehydrogenase activity,up
GO:0019842,vitamin binding,up
GO:0019840,isoprenoid binding,up
GO:0008378,galactosyltransferase activity,up
GO:0044238,primary metabolic process,up
GO:0048489,synaptic vesicle transport,up
GO:0016742,"hydroxymethyl-, formyl- and related transferase activity",up
GO:0004683,calmodulin-dependent protein kinase activity,up
GO:0045055,regulated secretory pathway,up
GO:0007269,neurotransmitter secretion,up
GO:0003001,generation of a signal involved in cell-cell signaling,up
GO:0016192,vesicle-mediated transport,up
GO:0004372,glycine hydroxymethyltransferase activity,up
GO:0016052,carbohydrate catabolic process,up
GO:0001505,regulation of neurotransmitter levels,up
GO:0019226,transmission of nerve impulse,up
GO:0007267,cell-cell signaling,up
GO:0008083,growth factor activity,up
GO:0010324,membrane invagination,up
GO:0006897,endocytosis,up
GO:0008144,drug binding,up
GO:0045446,endothelial cell differentiation,up
GO:0001885,endothelial cell development,up
GO:0008362,chitin-based embryonic cuticle biosynthetic process,up
GO:0007286,spermatid development,up
GO:0048515,spermatid differentiation,up
GO:0048488,synaptic vesicle endocytosis,up
GO:0045045,secretory pathway,up
GO:0032940,secretion by cell,up
